,ResponseId,ExternalReference,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_01,PROFICIENCY_02,PROFICIENCY_03,PROFICIENCY_05,PROFICIENCY_04,PRIOR_01,PRIOR_02,PRIOR_02_17_TEXT,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,PRIOR_04,BELONG_01,BELONG_02,MENTOR_02,MENTOR_03,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,ACCESS_01,ACCESS_01_7_TEXT,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
10,R_5nl09X8NVBt3SaE,REDACTED,CICI,To make my undergraduate experience complete,,Excellent,Excellent,Excellent,Very Good,Excellent,Yes,Seminar or conference,,"In my earlier research experiences, I typically worked within a defined structure. The projects already had established frameworks, research questions, and clear expectations. My role was to contribute to ongoing work, follow existing methodologies, and support goals that had largely been set before I joined.
Discovery Hubs, on the other hand, encouraged a far more exploratory approach. Instead of entering a predetermined project, I was invited to identify questions that genuinely interested me, pursue emerging ideas, and take intellectual risks. The emphasis was not only on producing results, but on curiosity, experimentation, and discovery. This shift made the research feel much more self-directed and creative.",Reaching out directly to a professor,,"I chose the Discovery Hubs because they offered something that traditional research avenues often do not: a space where exploration, creativity, and student-driven inquiry are not only allowed but encouraged. Unlike more formal research programs where projects are predefined and roles are narrowly structured, the Discovery Hubs gave me the freedom to pursue ideas that genuinely interested me and the support to develop them in meaningful ways.","My experience in the Discovery Hubs had a profound impact on how I see myself as a scholar, a problem-solver, and a future professional. Before joining the Hubs, I often thought of research as something rigid, highly structured, and reserved for experts. The Discovery Hubs changed that perception completely. They showed me that research can also be exploratory, creative, and deeply personal, and that realization has shaped my academic and career goals in several meaningful ways.
",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,"Artistic / creative endeavors.,Teaching / education.,Government / nonprofit.",,Actively appREDACTEDg,Yes,The freedom to explore ideas in the Hubs introduced me to topics I might never have encountered through traditional coursework. Pursuing those interests helped me understand what kinds of questions energize me and what environments I thrive in. This has guided me toward more intentional academic choices and helped clarify the types of roles I want to pursue in the future.,Semester long,April,April,,,2025_12_13,,,7.0
11,R_5fN3j5t9qzRIaD1,REDACTED,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Fair,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"The Discovery Hubs research project felt more collaborative, and there were several more opportunities for mentorship and gain insight into what graduate-level work looks like ","Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I appreciated the direct mentorship aspect and also enjoyed getting to know other undergraduates in different disciplines ,"I learned more about my own research interests and helped clarify what I would look for in a graduate program, should I continue this research",Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,No.,Government / nonprofit.,,Position secured or offered accepted,Yes,,Year long,June,August,,"The Discovery Research Hub helped me recognize how essential interdisciplinary research is in shaping a research project. I learned how to work collaboratively with people who have different trainings, and I learned how my own disciplinary perspective brings in new insight. I am glad to have received mentorship from a PhD student who modeled to me what rigorous research practically looks like. ",2026_05_16,2.0,2025_10_01,5.0
12,R_50eGVsbheXy0nNN,REDACTED,NASA Biosciences,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,Friend or acquaintance connected me to a research group,,Idk man,Reaching out directly to a professor,,Idk man,Idk man,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Idk man,Year with possibility of extending into summer,March,August,,N/a,2026_05_16,,,4.0
13,R_3eLbZMACvnntlJT,REDACTED,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Good,Good,Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other","Applied online to summer research opportunities at other universities (Purdue SURF, UIC Pediatrics Summer Scholars Fellowship).","The level of mentorship I received during Discovery Hubs far exceeded my previous research experiences. I was able to have in-depth conversations with my mentor to clearly define the scope of my work, sharpen my understanding of its significance, and understand how it can be applied in the future. I also narrowed my future ambitions for what to pursue in graduate school. This was a sharp contrast to previous projects where I was given very little supervision and came out of the project feeling more isolated and less fulfilled.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I liked my project the most.,"Honing career path, more passion for scientific communication (poster/slide-making, presenting)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,If an opportunity were to open early for previous participants to opt into.,Year long,July,August,,,2026_05_16,1.0,2026_02_28,
14,R_35Ns4eRouMdR3TJ,REDACTED,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Good,Good,Good,Good,Yes,Other,SULI program at Stanford alinear Accelerator Center,I had a more active role in the research for this experience. ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because the topic interested me,I have gained a lot more confidence in my skills to convey my research to others,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,June,August,,I really appreciated my mentor being open to questions and explaining difficult concepts to me in a welcoming environment ,2026_05_16,1.0,2026_02_28,
15,R_1jYEJ3C1TLy19O0,REDACTED,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To prepare for graduate school",,Good,Good,Very Good,Good,Good,Yes,Other,Filled out a professor's application ,Discovery Hub was much more extensive and the mentorship aspect was amazing. I learned so much..,Reaching out directly to a professor,,I loved the support and the experience and my mentor was great ,It made me consider biophysics as an avenue ,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,July,August,,I'm a physics and astrophysics major being able to be exposed to biophysics was amazing and made me consider biophysics for grad school. ,2026_05_16,2.0,2025_10_01,4.0
16,R_1TV5iB2uAPZdDJ7,REDACTED,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To prepare for graduate school",,Very Good,Very Good,Very Good,Good,Very Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"The main difference between my prior research experiences and my experiences in the Discovery Hubs was the level of structure and intentional skill development. The Discovery Hubs provided a more supportive environment for learning how to conduct research, communicate ideas, and grow professionally. I especially appreciated the workshops and mentorship opportunities, which helped me build confidence in both my technical and collaborative skills. Compared to some of my previous experiences, the Discovery Hubs felt more focused on helping students learn and develop as researchers, not just contribute to projects.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"I chose the Discovery Hubs because of the supportive and structured environment they offered for students who were still developing their research experience. I was drawn to the mentorship, workshops, and opportunity to build both technical and professional skills while contributing to meaningful research.","My experience in the Discovery Hubs strengthened my confidence as a researcher and helped me develop valuable technical, communication, and collaboration skills. It also reinforced my interest in pursuing research-related opportunities in materials science and showed me how impactful interdisciplinary research can be.",Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,"I would be more likely to participate in future opportunities with the Discovery Hubs if there were continued opportunities for mentorship and skill-building workshops, as well as collaborative research experiences. I especially value programs that help students grow professionally while connecting with a supportive research community.",Semester long,May,August,,"Participating in the Discovery Research Hub gave me the confidence to see myself as a researcher and someone capable of contributing meaningful ideas. One of the most special parts of the program was how supportive and encouraging the environment felt. Through the mentorship and workshop opportunities, I not only developed technical and professional skills, but also grew more confident developing my research capabilities.

As a student, having access to programs like this makes a huge difference. The Discovery Hubs created opportunities that made research feel more accessible and welcoming, and it helped me grow both academically and personally. I am truly grateful for the experience and for the people who made it possible. Thank you!",2026_05_16,2.0,2025_10_01,4.0
17,R_7td5xRnoE3VhQ4x,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Good,Very Good,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group",,Primarily quantitativ.,Reaching out directly to a professor,,I knew my mentor beforehand.,Increased readiness for graduate school and academic research.,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",Pay.,Year with possibility of extending into summer,August,August,,,2026_05_16,,,8.0
18,R_6zC4cP08z27nVvO,REDACTED,CICI,"To shape knowledge, not just consume it,To gain hands-on skills",,Excellent,Excellent,Excellent,Very Good,Very Good,No,,,,Reaching out directly to a professor,,The research aligned with my interests ,Help narrow down my own study of interest ,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Actively appREDACTEDg,No,More research opportunities ,Year long,August,June,N/a,Na,2026_05_16,,,3.0
19,R_6dNh1bxsFci2mr6,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Fair,Good,Good,Poor,Yes,Seminar or conference,,"Before I worked in a more professional setting, academic research has more flexibility as well as a greater level of collaboration and brainstorming",Reaching out directly to a professor,,I felt the most interested in the research done through the Discover Hub,"I gained hands on experience in Raman, SEM, etc. It let me gain more experience in physical chREDACTED ",Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in a different group.",,,Exploring options,Yes,,Spring with possibility of extending into summer,June,July,,"I’ve been able to grow connections in the research environment at Berkeley, which allow me to see familiar faces and makes me feel more comfortable in my role at Berkeley as a researcher",2025_12_13,1.0,2025_10_01,2.0
20,R_5z6YgLVcEqEeKJV,REDACTED,Social Sciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Very Good,Very Good,Very Good,Good,Very Good,Yes,"Reached out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Bigger team ,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I both both haas and discovery but just wanted more experience ,I learned how to work in a group and was able to work under someone who is amazing!,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,No.,"Teaching / education.,Government / nonprofit.",,Actively appREDACTEDg,Yes,,Year long,August,August,,,2026_05_16,2.0,2025_10_01,4.0
21,R_5j7odQjZqXYFbvz,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills",,Excellent,Excellent,Excellent,Good,Excellent,No,,,,Other,No,I knew my mentor and wanted to work with him to get to know his field better. ,I learned how to think and read more critically and I have further developed my research interests. ,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in a different group.",,,Strongly considering,Yes,I am not sure as I am already planning on appREDACTEDg to future opportunities with the Discovery Hub. ,Year with possibility of extending into summer,July,August,,"This program really helped me identify what my academic interests were and where my forte and shortcomings were as a researcher. I was able to engage in my academic work with a more critical and interdisciplinary lens, and I feel more confident as an academic. This experience solidifed my desire to pursuit a doctorate to become a researcher and a professor. I was able to realise my passion and course correct my future academic plans: initially, I was aiming to recieve a doctorate degree in english literature. However, after this experience, and after much mentorship, I have pivoted to pursuing a doctorate degree in comparative literature. ",2026_05_16,2.0,2025_10_01,4.0
22,R_5VdpocaZG6v8z2H,REDACTED,Molecular Foundry,"To shape knowledge, not just consume it,To explore career interests,To build mentorship connections",,Excellent,Very Good,Excellent,Fair,Very Good,Yes,Friend or acquaintance connected me to a research group,,I had more of a project at Discovery,Reaching out directly to a professor,,I choose discovery because of the project I got accepted to.,"It was good, it helped me gain connections and clarify my career goals.",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Clearer projects and options to choose from.,Year long,March,May,,,2026_05_16,,,
23,R_5NcwovvuVdZXz1L,REDACTED,Molecular Foundry,"To explore career interests,To prepare for graduate school",,Good,Good,Good,Very Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"My prior research experiences have been full time during the summer, Discovery Hubs has been part time during the semester.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I had previously worked with my Discovery Hubs mentor and they recommended that I apply.,"I have gained new skills unrelated to my major coursework, mostly in software development.",Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,No.,Non-academic / industry research.,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",,Semester long,August,August,,"This program allowed me to develop skills unrelated to my major. I had always been interested in a coding heavy experience, but because of my major (chemical engineering) and prior work experience it was difficult to find the right opportunity. This program have me the opportunity to develop these skills.",2025_12_13,,,
24,R_3f84qTlIdXUpJ9B,REDACTED,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Very Good,Very Good,Very Good,Good,Very Good,Yes,Other,,Berkeley lab is more famous,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The research opportunity here was more interesting and impactful than the other,Gave me hands on experience with software engineering and working in a team,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in a different group.",,,Position secured or offered accepted,Yes,,Semester long,June,July,,The discovery hubs program at the molecular foundry helped me gain essential hands on software and data engineering experience which is highly transferable to future internships and jobs. The mentors are also caring and inspiring.,2026_05_16,2.0,2025_10_01,
25,R_1adQZorBVfxlWql,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Good,Very Good,Good,Good,Fair,No,,,,Reaching out directly to a professor,,"They made undergraduates feel important in research, which was helpful to feel included and made it feel possible for me to get research.","I gained new skills in lab, as well as an understanding of how professional labs operate and how connections with mentors can be helpful!",Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,Non-academic / industry research.,,Generally considering,Yes,More career & networking events!,Year long,July,August,,I learned a lot more about my future career goals and what I am interested in! I also learned how broad my opportunities are!,2025_12_13,,,4.0
26,R_1VBXG5vxKnuexJV,REDACTED,CICI,To prepare for graduate school,,Very Good,Very Good,Very Good,Good,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Discovery Hubs were interdisciplinary,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I wanted to do interdisciplinary research,I feel more ready for grad school,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Exploring options,Yes,I would like to participate,Semester long,March,August,,,2026_05_16,,,5.0
27,R_1ORni2Z4zXUlYe5,REDACTED,CNMAT,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Good,Very Good,Fair,Good,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group",,Research support and infrastructure through discovery hubs,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Strong mentorship was helpful,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,More networking and workshop activities,Year long,May,July,,"It was so interesting to be a part of an organization that is so cross disciplinary. I hope that there are more opportunities opened up by discovery hubs in the future, such as conferencing events, research meetings and presentations, and workshops.",2026_05_16,1.0,2026_02_28,
28,R_6xXgBdOFTpbx9qF,REDACTED,Kavli ENSI,"To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Very Poor,Very Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I ultimately chose Discovery Hub as it was best in-line with my current research opportunities.,"Discovery Hub has had a massive impact on my research experience. I've learned new skills, networked, and gained better understanding of various fields.",Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Transportation to/from research site (cost or time)",,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester","Depends on graduation and various factors. If I have to continue another semester, I plan to continue with Discovery Hub.",Year long,April,June,,This has been a wonderful program! Thank you very much for the opportunity!,2025_12_13,1.0,2025_10_01,1.0
29,R_6kRx3wFtPDhmWJ3,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,Excellent,Excellent,Excellent,Excellent,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars),Other",,"I was accepted into the program, and it's what worked best for my schedule. ",I would say I learned more about the research topic and the cross-connections between two fields that I thought were unrelated. ,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,If I have a good experience in the program.,Year with possibility of extending into summer,March,March,,I gained more knowledge and insight into a field I didn't know about before. I also got to work with other students on the same project which was satisfying. ,2026_05_16,,,
30,R_6DO9DyFTnsxivpD,REDACTED,Kavli ENSI,To prepare for graduate school,,Fair,Very Good,Very Good,Very Poor,Fair,Yes,Reached out directly to a professor,,This allows more hands on experiences allowing me to take more initiative ,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I thought it involved special mentorship which is unique.,It allowed me to gain insight in a new field I didn’t know much about. It helps prepare me with future endeavors.,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Exploring options,Yes,,Year with possibility of extending into summer,May,July,,,2026_05_16,,,4.0
31,R_6Cr47IdGI8Q1LUi,REDACTED,NASA Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Very Good,Good,Very Good,Yes,Other,,"Working with a professional team, PhD student, scientists ","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Interesting project,Opened my eyes to intersectional topics ,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Year long,June,July,,,2026_05_16,,,4.0
32,R_6Clbuejl0CgnOL1,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Excellent,Excellent,Excellent,Excellent,Yes,"Friend or acquaintance connected me to a research group,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,I love the community Discovery Hubs provides!,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Found PhD students doing research I was deeply interested in!,"gained new skills, strengthened my passion for PhD programs.",Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in a different group.",,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,n/a graduating,great great life changing experience!,2026_05_16,,,8.0
33,R_5dSQrC91RGQvZbH,REDACTED,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections,To prepare for graduate school",,Excellent,Fair,Excellent,Poor,Excellent,Yes,"Reached out directly to a professor,Friend or acquaintance connected me to a research group",,This one more engaged ,Reaching out directly to a professor,,Like this project ,Learn more about physics,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Generally considering,Yes,,Semester long,March,July,,,2026_05_16,2.0,2025_10_01,4.0
34,R_5QXV5opGxzGX9nP,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Fair,Fair,Fair,Very Good,No,,,,Reaching out directly to a professor,,Professors are hard to reach out to!,I’ve made friends and learned the value of collaborative research.,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Other",Life!,"Yes, in a different group.",,,Generally considering,"I would be interested, but I am not eligible due to graduating this semester",,Year with possibility of extending into summer,May,July,,This has been such a wonderful opportunity to make friends and build research connections! Shoutout CICI!,2026_05_16,2.0,2025_10_01,5.0
