,PRIOR_01,PRIOR_03,MENTOR_01,MENTOR_04,MENTOR_05,ACCESS_02,ACCESS_02_10_TEXT,START,TIME_IN_PROGRAM,MENTOR_08,END,CLUSTER_SIZE,HUB_01
18,Yes,2,Yes,"My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2025_10_01,,,,6.0,CICI
19,Yes,0,No,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI
20,Yes,1,Yes,"My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry
21,Yes,3,No,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor demonstrates professional expertise.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2026_02_28,,,,,KALX
22,Yes,0,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",A department email,,2025_10_01,,,,4.0,CICI
23,Yes,1,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI
24,Yes,2,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI
25,Yes,4,Yes,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Molecular Foundry
26,Yes,4,Yes,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,CICI
27,Yes,4,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.","A department email,The Discovery Opportunities Database",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,,Molecular Foundry
28,Yes,0,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.",My mentor helps me to formulate clear goals.,The Discovery Opportunities Database,,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI
29,Yes,10+,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,NASA Biosciences
30,Yes,3,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.",My mentor is helpful in providing direction and guidance on professional issues.,The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry
31,Yes,10+,No,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.","A class at Berkeley,A friend or acquaintance,A campus event/seminar or conference",,2025_10_01,1.0,3-4 hrs/week,2025_12_13,,UCSF Anesthesia and Perioperative Care
32,Yes,3,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,,2026_05_16,,Molecular Foundry
33,Yes,2,Yes,My mentor is an active listener.,My mentor is helpful in providing direction and guidance on professional issues.,A friend or acquaintance,,2026_02_28,,,,,CNMAT
34,Yes,1,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",Other,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI
35,Yes,3,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.",My mentor provides thoughtful advice on my scholarly work.,A class at Berkeley,,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI
36,Yes,3,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",A friend or acquaintance,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI
37,Yes,4,Yes,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI
38,Yes,0,No,"My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.","A friend or acquaintance,A department email",,2025_10_01,,,,5.0,CICI
39,Yes,5,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",A department email,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,3.0,CICI
40,Yes,10+,Yes,"My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.","A friend or acquaintance,Other",,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,Molecular Foundry
41,Yes,4,No,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.","A department email,The Discovery Opportunities Database",,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,1.0,Kavli ENSI
42,Yes,3,Yes,"My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2025_10_01,,,,4.0,Kavli ENSI
43,Yes,5,,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A class at Berkeley,,2025_10_01,,,,4.0,Social Sciences
44,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor acknowledges my contributions appropriately.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.","A department email,Other", ,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,CICI
45,Yes,0,Yes,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,,,,5.0,CICI
46,Yes,,Yes,My mentor is generally available to meet or talk when I need them.,My mentor demonstrates professional expertise.,"A class at Berkeley,A department email",,2025_10_01,1.0,More than 5 hrs/week,2025_12_13,,Molecular Foundry
47,No,,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,,,,,Molecular Foundry
48,No,,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",A friend or acquaintance,,2025_10_01,,,,8.0,CICI
49,No,,Yes,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2026_02_28,1.0,1-2 hrs/wk,2026_05_16,,CNMAT
50,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.",The Discovery Opportunities Database,,2025_10_01,,,,,Molecular Foundry
51,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.","A department email,The Discovery Opportunities Database",,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI
52,No,,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,3-4 hrs/week,2026_05_16,5.0,CICI
53,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.","A department email,The Discovery Opportunities Database",,2025_10_01,,,,,UCSF Anesthesia and Perioperative Care
54,No,,No,"My mentor is an active listener.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",A friend or acquaintance,,2025_10_01,,,,7.0,CICI
55,Yes,1,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,4.0,CICI
56,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor is supportive of work-life balance.","My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",A class at Berkeley,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,2.0,Kavli ENSI
57,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor acknowledges my contributions appropriately.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",A campus event/seminar or conference,,2025_10_01,,,,,CICI
58,No,,No,My mentor takes a sincere interest in my career.,My mentor demonstrates professional expertise.,A department email,,2025_10_01,,,,7.0,CICI
59,No,,No,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,2.0,Kavli ENSI
60,No,,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor takes a sincere interest in my career.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.","A department email,The Discovery Opportunities Database",,2025_10_01,2.0,3-4 hrs/week,2026_05_16,4.0,Social Sciences
61,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.",A department email,,2025_10_01,,,,7.0,CICI
62,Yes,10+,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor acknowledges my contributions appropriately.","My mentor demonstrates professional expertise.,My mentor is helpful in providing direction and guidance on professional issues.,My mentor provides thoughtful advice on my scholarly work.",,,2025_10_01,,,,2.0,Kavli ENSI
63,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor takes a sincere interest in my career.","My mentor demonstrates professional expertise.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",A department email,,2026_02_28,1.0,More than 5 hrs/week,2026_05_16,,Molecular Foundry
64,No,,No,My mentor motivates me to improve my work.,"My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI
65,No,,No,"My mentor is an active listener.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",The Discovery Opportunities Database,,2025_10_01,2.0,1-2 hrs/wk,2026_05_16,5.0,CICI
66,Yes,1,Yes,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor is supportive of work-life balance.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor helps me to formulate clear goals.,My mentor provides thoughtful advice on my scholarly work.",,,2025_10_01,,,,4.0,CICI
67,No,,Yes,"My mentor is an active listener.,My mentor acknowledges my contributions appropriately.,My mentor motivates me to improve my work.","My mentor demonstrates professional expertise.,My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.",A department email,,2025_10_01,,,,,Molecular Foundry
68,No,,No,"My mentor is generally available to meet or talk when I need them.,My mentor is an active listener.,My mentor motivates me to improve my work.","My mentor helps me to formulate clear goals.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",A friend or acquaintance,,2025_10_01,2.0,,2026_05_16,8.0,CICI
69,No,,No,"My mentor is an active listener.,My mentor is supportive of work-life balance.,My mentor motivates me to improve my work.","My mentor is helpful in providing direction and guidance on professional issues.,My mentor facilitates building my professional network.,My mentor provides thoughtful advice on my scholarly work.",,,2025_10_01,,,,6.0,CICI
70,No,,No,,,The Discovery Opportunities Database,,2026_02_28,1.0,,2026_05_16,,KALX
71,No,,No,,,,,2025_10_01,,,,,Molecular Foundry
72,,,,,,,,2025_10_01,2.0,More than 5 hrs/week,2026_05_16,4.0,Kavli ENSI
73,,,,,,,,2025_10_01,,,,8.0,CICI
74,,,,,,,,2025_10_01,1.0,1-2 hrs/wk,2025_12_13,8.0,CICI
